index_report,date,crime_type,description,city
4,5092023,forgery,A sophisticated forgery operation is traced back to Layla.,atom-city
15,3092023,murder,"Security footage shows that there were 2 witnesses. The first witness lives  at the last house in ""Saddar Bazaar Rawalpindi"". The second witness  named Sanam Akhtar lives somewhere on ""Gulshan-e-Ravi Lahore"".",atom-city
25,2122023,blackmail,Blackmail victimizes Grace.,atom-city
51,9162023,theft,A mysterious figure named Alex committed a theft in broad daylight.,atom-city
63,4252023,fraud,A high-profile fraud case implicates Mason as the mastermind.,atom-city
68,6152023,fraud,A high-profile fraud case implicates Sophie as the mastermind.,atom-city
69,7032023,arson,"An elaborate arson plot unfolded, orchestrated by Mia.",atom-city
80,9192023,kidnap,Kidnappers target Nathan's family.,atom-city
84,1272023,bribery,The mayor was caught in a bribery scandal involving Lucas.,atom-city
90,1142023,robbery,"In a daring robbery, Ava stole valuable artifacts from the museum.",atom-city
124,6282023,bribery,The mayor was caught in a bribery scandal involving Ava.,atom-city
139,9032023,fraud,A high-profile fraud case implicates Emily as the mastermind.,atom-city
141,6202023,fraud,A high-profile fraud case implicates Michael as the mastermind.,atom-city
142,8242023,fraud,A high-profile fraud case implicates Michael as the mastermind.,atom-city
143,11302023,murder,A murder mystery baffles investigators as Jack is found dead in their home.,atom-city
145,6202023,bribery,The mayor was caught in a bribery scandal involving Lucas.,atom-city
149,9242023,theft,A mysterious figure named John committed a theft in broad daylight.,atom-city
156,3232023,fraud,A high-profile fraud case implicates Ryan as the mastermind.,atom-city
160,10192023,theft,A mysterious figure named Alex committed a theft in broad daylight.,atom-city
189,6212023,theft,A mysterious figure named Alex committed a theft in broad daylight.,atom-city
223,5222023,bribery,The mayor was caught in a bribery scandal involving Emma.,atom-city
236,9102023,bribery,The mayor was caught in a bribery scandal involving Lucas.,atom-city
238,9042023,bribery,The mayor was caught in a bribery scandal involving Ava.,atom-city
243,5042023,smuggling,Authorities uncovered a smuggling operation led by Benjamin.,atom-city
254,3192023,blackmail,Blackmail victimizes Grace.,atom-city
258,11082023,theft,A mysterious figure named Alex committed a theft in broad daylight.,atom-city
259,2252023,arson,"An elaborate arson plot unfolded, orchestrated by Jackson.",atom-city
266,8072023,kidnap,Abductors target Avery's family.,atom-city
274,1192023,bribery,The mayor was caught in a bribery scandal involving Ava.,atom-city
281,3122023,theft,A mysterious figure named Emma committed a theft in broad daylight.,atom-city
283,2102023,robbery,"In a daring robbery, Olivia stole valuable artifacts from the museum.",atom-city
284,2012023,murder,A murder mystery baffles investigators as James is found dead in their home.,atom-city
6,9022023,bribery,The mayor was caught in a bribery scandal involving Lucas.,berlin
24,7172023,forgery,A sophisticated forgery operation is traced back to Ethan.,berlin
28,4282023,bribery,The mayor was caught in a bribery scandal involving Lucas.,berlin
45,1282023,arson,"An elaborate arson plot unfolded, orchestrated by Amelia.",berlin
52,10292023,forgery,A sophisticated forgery operation is traced back to Jackson.,berlin
72,10072023,kidnap,Kidnappers target Nathan's family.,berlin
101,11222023,blackmail,Blackmail victimizes Scarlett.,berlin
115,9052023,smuggling,Authorities uncovered a smuggling operation led by Aria.,berlin
146,5242023,theft,A mysterious figure named Daniel committed a theft in broad daylight.,berlin
152,9282023,bribery,The mayor was caught in a bribery scandal involving Ava.,berlin
154,6222023,smuggling,Authorities uncovered a smuggling operation led by Zoe.,berlin
163,8272023,fraud,A high-profile fraud case implicates Emily as the mastermind.,berlin
167,11072023,theft,A mysterious figure named John committed a theft in broad daylight.,berlin
170,11272023,robbery,"In a daring robbery, Isabella stole valuable artifacts from the museum.",berlin
177,10082023,bribery,The mayor was caught in a bribery scandal involving Ava.,berlin
182,9012023,arson,"An elaborate arson plot unfolded, orchestrated by Liam.",berlin
191,3082023,robbery,"In a daring robbery, Olivia stole valuable artifacts from the museum.",berlin
193,3092023,forgery,A sophisticated forgery operation is traced back to Madison.,berlin
194,3052023,,Abductors target Nathan's family.,berlin
206,9092023,robbery,"In a daring robbery, Isabella stole valuable artifacts from the museum.",berlin
213,3012023,blackmail,Blackmail victimizes Grace.,berlin
215,11102023,bribery,The mayor was caught in a bribery scandal involving Ava.,berlin
216,7132023,arson,"An elaborate arson plot unfolded, orchestrated by Amelia.",berlin
237,7082023,kidnap,Kidnappers target Evelyn's family.,berlin
245,3082023,smuggling,Authorities uncovered a smuggling operation led by Benjamin.,berlin
251,7252023,bribery,The mayor was caught in a bribery scandal involving Sophia.,berlin
253,2102023,robbery,"In a daring robbery, Ava stole valuable artifacts from the museum.",berlin
262,10202023,bribery,The mayor was caught in a bribery scandal involving Ava.,berlin
264,7212023,murder,A murder mystery baffles investigators as James is found dead in their home.,berlin
268,9162023,blackmail,Blackmail victimizes Grace.,berlin
7,10182023,kidnap,Kidnappers target Hannah's family.,gujranwala
20,8072023,arson,"An elaborate arson plot unfolded, orchestrated by Ethan.",gujranwala
26,8132023,smuggling,Authorities uncovered a smuggling operation led by Benjamin.,gujranwala
29,1242023,fraud,A high-profile fraud case implicates Michael as the mastermind.,gujranwala
33,1252023,theft,A mysterious figure named Sophia committed a theft in broad daylight.,gujranwala
44,11182023,forgery,A sophisticated forgery operation is traced back to Jackson.,gujranwala
48,11062023,arson,"An elaborate arson plot unfolded, orchestrated by Ethan.",gujranwala
59,5162023,kidnap,Kidnappers target Avery's family.,gujranwala
60,8092023,blackmail,Blackmail victimizes Aurora.,gujranwala
61,10162023,fraud,A high-profile fraud case implicates Sophie as the mastermind.,gujranwala
66,7052023,blackmail,Blackmail victimizes Caleb.,gujranwala
75,1212023,smuggling,Authorities uncovered a smuggling operation led by Zoe.,gujranwala
92,7122023,robbery,"In a daring robbery, Liam stole valuable artifacts from the museum.",gujranwala
98,9092023,arson,"An elaborate arson plot unfolded, orchestrated by Amelia.",gujranwala
99,4222023,smuggling,Authorities uncovered a smuggling operation led by Benjamin.,gujranwala
109,11072023,robbery,"In a daring robbery, Noah stole valuable artifacts from the museum.",gujranwala
111,2122023,forgery,A sophisticated forgery operation is traced back to Madison.,gujranwala
